provider_id,name,geography_level,province,dguid,population,population_year,portal_url,portal_license_name,portal_license_url,contact,notes
,City of Brandon,,MB,,,,http://opengov.brandon.ca/,,,,
,City of Winnipeg,,MB,,,,https://data.winnipeg.ca/,,,,
,Government of Saskatchewan,province,SK,,,,https://geohub.saskatchewan.ca/,,,,
,City of Regina,,SK,,,,https://openregina.ca/,,,,
,City of Saskatoon,,SK,,,,https://opendata.saskatoon.ca/,,,,
,Government of Alberta,province,AB,,,,https://open.alberta.ca/opendata,,,,
,City of Airdrie,,AB,,,,https://data-airdrie.opendata.arcgis.com/,,,,
,Town of Banff,,AB,,,,https://maps.banff.ca/opendata/,,,,
,City of Calgary,,AB,,,,https://data.calgary.ca/,,,,
,Calgary Metropolitan Region,,AB,,,,https://calgarymetroregion-cmrb.opendata.arcgis.com/,,,,
,Town of Canmore,,AB,,,,https://opendata-canmore.opendata.arcgis.com/,,,,
,City of Chestermere,,AB,,,,https://data-chestermere.opendata.arcgis.com/,,,,
,Town of Cochrane,,AB,,,,https://geohub.cochrane.ca/,,,,
,City of Edmonton,,AB,,,,https://data.edmonton.ca/,,,,
,County of Grande Prairie,,AB,,,,https://opendata.countygp.ab.ca/,,,,
,City of Grande Prairie,,AB,,,,https://opendata-cityofgp.hub.arcgis.com/,,,,
,Town of High River,,AB,,,,https://highriver-hrmdf.hub.arcgis.com/,,,,
,City of Lethbridge,,AB,,,,https://opendata.lethbridge.ca/,,,,
,City of Medicine Hat,,AB,,,,https://www.medicinehat.ca/en/business-and-development/maps-and-gis.aspx,,,,
,Town of Okotoks,,AB,,,,https://okotoksmaps-okotoks.hub.arcgis.com/pages/open-data-portal,,,,
,Parkland County,,AB,,,,https://opendata.parklandcounty.com/,,,,
,City of Red Deer,,AB,,,,https://data.reddeer.ca/datasets,,,,
,City of St. Albert,,AB,,,,https://data.stalbert.ca/,,,,
,Strathcona County,,AB,,,,https://data.strathcona.ca/,,,,
,Sturgeon County,,AB,,,,https://data-sturgeoncounty.opendata.arcgis.com/,,,,
,Government of British Columbia,province,BC,,,,https://catalogue.data.gov.bc.ca,,,,
