checked,provider_id,portal_url,source_url,name,geography_level,province,checked_date,source_ids,notes
,bc_maple_ridge,https://opengov.mapleridge.ca/,https://opengov.mapleridge.ca/datasets/mapleridge::bike-routes/explore,City of Maple Ridge,municipality,BC,,bc_maple_ridge_cycling,"from 2022 CCND vintage, needs re-verification"
,bc_nanaimo,https://www.nanaimo.ca/open-data-catalogue,,City of Nanaimo,municipality,BC,,,
,bc_new_westminster,https://opendata.newwestcity.ca/,,City of New Westminster,municipality,BC,,,
,bc_parksville,https://city-of-parksville-city-parksville.hub.arcgis.com/,,City of Parksville,municipality,BC,,,
,bc_penticton,https://open.penticton.ca/,https://open.penticton.ca/datasets/a083f8d8cb004932abab4406b28994bd_822/explore,City of Penticton,municipality,BC,,bc_penticton_cycling,"from 2023 CCND vintage, needs re-verification"
,bc_port_coquitlam,https://data-poco.hub.arcgis.com/,,City of Port Coquitlam,municipality,BC,,,
,bc_port_moody,https://data.portmoody.ca/,https://data.portmoody.ca/datasets/9f3aa5c190924e6dafad7cb588716c70_46/about,City of Port Moody,municipality,BC,,bc_port_moody_cycling,"from 2023 CCND vintage, needs re-verification"
,bc_prince_george,https://data-cityofpg.opendata.arcgis.com/,https://data-cityofpg.opendata.arcgis.com/datasets/CityofPG::ocp-8383-cycle-network/explore,City of Prince George,municipality,BC,,bc_prince_george_cycling,"from 2023 CCND vintage, needs re-verification"
,bc_richmond,,,City of Richmond,municipality,BC,,,
,bc_surrey,https://data.surrey.ca/,https://data.surrey.ca/dataset/bike-routes/resource/e10c6ce3-454e-498e-901c-aeb44d04e78c?inner_span=True,City of Surrey,municipality,BC,,bc_surrey_cycling,"from 2022 CCND vintage, needs re-verification"
,bc_vancouver,https://opendata.vancouver.ca/pages/home/,https://opendata.vancouver.ca/explore/dataset/bikeways/information/?disjunctive.bike_route_name&disjunctive.bikeway_type&disjunctive.subtype&disjunctive.year_of_construction,City of Vancouver,municipality,BC,,bc_vancouver_cycling,"from 2023 CCND vintage, needs re-verification"
,bc_vernon,https://cov-open-data-vernon.hub.arcgis.com/,https://cov-open-data-vernon.hub.arcgis.com/datasets/vernon-bike-routes/explore?location=50.072859%2C-119.359818%2C12.49,City of Vernon,municipality,BC,,bc_vernon_cycling,"from 2023 CCND vintage, needs re-verification"
,bc_victoria,https://opendata.victoria.ca/,https://opendata.victoria.ca/datasets/34632d5ee89d40ffa0462e717ae49d0b/explore?location=48.425669%2C-123.350522%2C13.67,City of Victoria,municipality,BC,,bc_victoria_cycling,"from 2022 CCND vintage, needs re-verification"
,bc_white_rock,https://data.whiterockcity.ca/,,City of White Rock,municipality,BC,,,
,bc_lake_country,https://dlc-open-data-dlc.hub.arcgis.com/,,District of Lake Country,municipality,BC,,,
,bc_north_vancouver,https://www.geoweb.dnv.org/data/,https://www.geoweb.dnv.org/data/,District of North Vancouver,municipality,BC,,bc_north_vancouver_cycling,"from 2024 CCND vintage, needs re-verification"
,bc_peachland,https://peachland2017-01-16t194902237z-rdco.opendata.arcgis.com/,,District of Peachland,municipality,BC,,,
,bc_saanich,https://opendata-saanich.hub.arcgis.com/,,District of Saanich,municipality,BC,,,
,bc_squamish,https://data.squamish.ca/,https://opendata-squamish.hub.arcgis.com/datasets/526e12633e2e404cb229d0d2657e7092/explore?location=49.662123%2C-123.000688%2C10.04,District of Squamish,municipality,BC,,bc_squamish_cycling,"from 2021 CCND vintage, needs re-verification"
,bc_summerland,https://open-data-summerland.hub.arcgis.com/,,District of Summerland,municipality,BC,,,
,bc_west_vancouver,https://westmap.westvancouver.ca/,https://mapping.westvancouver.ca/OD/dbo_OPENDATA_FILES_list.php?page=list,District of West Vancouver,municipality,BC,,bc_west_vancouver_cycling,"from 2020 CCND vintage, needs re-verification"
,bc_north_cowichan,https://www.northcowichan.ca/municipal-services/maps,,Municipality of North Cowichan,municipality,BC,,,
,bc_whistler,https://portal-rmow.opendata.arcgis.com/,,Resort Municipality of Whistler,municipality,BC,,,
,bc_gibsons,https://town-of-gibsons-open-data-portal-myscrd.hub.arcgis.com/,,Town of Gibsons,municipality,BC,,,
,bc_esquimalt,https://opendata.esquimalt.ca/,,Township of Esquimalt,municipality,BC,,,
,mb_brandon,http://opengov.brandon.ca/,,City of Brandon,municipality,MB,,,
,mb_winnipeg,https://data.winnipeg.ca/,https://data.winnipeg.ca/Transportation-Planning-Traffic-Management/Cycling-Network/kjd9-dvf5/about_data,City of Winnipeg,municipality,MB,,mb_winnipeg_cycling,"from 2023 CCND vintage, needs re-verification"
,nb_fredericton,https://data-fredericton.opendata.arcgis.com/,https://environment-fredericton.hub.arcgis.com/datasets/bike-lanes/explore?location=45.950252%2C-66.625723%2C12.40,City of Fredericton,municipality,NB,,nb_fredericton_cycling,"from 2022 CCND vintage, needs re-verification"
,nb_moncton,https://open.moncton.ca/,https://open.moncton.ca/datasets/moncton::active-transportation/explore?location=46.141055%2C-64.803603%2C11.92,City of Moncton,municipality,NB,,nb_moncton_cycling,"from 2023 CCND vintage, needs re-verification"
,nb_saint_john,https://catalogue-saintjohn.opendata.arcgis.com/,,City of Saint John,municipality,NB,,,
,nb_edmundston,https://data-edmundston.opendata.arcgis.com/,,Ville d'Edmundston,municipality,NB,,,
,nl_st_johns,,,City of St. John's,municipality,NL,,,
,nl_happy_valley_goose_bay,https://portal-townhvgb.opendata.arcgis.com/,,Town of Happy Valley-Goose Bay,municipality,NL,,,
,ns_cape_breton_regional_muncipality,https://www.cbrm.ns.ca/open-data.html,,Cape Breton Regional Muncipality,municipality,NS,,,
,ns_halifax_regional_municipality,https://data-hrm.hub.arcgis.com/,,Halifax Regional Municipality,municipality,NS,,,
,ns_east_hants,https://www.easthants.ca/maps-and-data/,,Municipality of East Hants,municipality,NS,,,
,ns_truro,https://www.truro.ca/mapping-and-gis.html,,Town of Truro,municipality,NS,,,
,nt_yellowknife,https://opendata.yellowknife.ca/,Manual,City of Yellowknife,municipality,NT,,nt_yellowknife_cycling,"from 2023 CCND vintage, needs re-verification"
,on_barrie,https://opendata.barrie.ca/,https://opendata.barrie.ca/datasets/1bc1a28dee2e493d9a4eb245277a128b_10/explore,City of Barrie,municipality,ON,,on_barrie_cycling,"from 2023 CCND vintage, needs re-verification"
